,Unnamed: 0,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed,price_level
0,0.0,OPERATIONAL,"Badenerstrasse 376, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118320709022344298780"">Felder Ruedi</a>'], 'photo_reference': 'Aap_uEDBnr9UNYMnAe5-fx4MyKo36uvdrF32DBiES3zwIOHsrbkXN5k4DgmqW_1yQtfX18anJ9Cx_e1FLToC2lCU6TQQUEjOkDmVO1P5kF7tNdVgNSLHrFU2IDPZVIqp4l_Tc39ROXbraBHNmi0bsfqRTlFdo_i_PhQVR_IBzhTJbj0I2hhz', 'width': 4048}]",ChIJP2csREgKkEcRBKI93d184H0,4.1,ChIJP2csREgKkEcRBKI93d184H0,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",450,47.3791051,8.5087542,47.38042502989272,8.510100079892721,47.37772537010728,8.507400420107277,True,9GH5+JG Zürich,8FVC9GH5+JG,,
1,1.0,OPERATIONAL,"Wengistrasse 7, 8004 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118035695877550048458"">Philippe Kehl</a>'], 'photo_reference': 'Aap_uEAebspbaWz1ur0FJDoWPWBSnM2tQcOgHOfp74dDk-a-Y1jkP2pJkfD2DUXjHNx5yffkT0PSCmS6mWKf2seR8quC5jFKiP0pAJEBIfnbmv3I32e5T5vvsMQre7-cFiSJ8TVCd-NsCyZasskdDaCZqQdsMUtU3C2rYP3EyZ_-zFzxFW5H', 'width': 3264}]",ChIJ3_pzcxkKkEcRcqDQcszcT6Y,4.2,ChIJ3_pzcxkKkEcRcqDQcszcT6Y,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",465,47.374944,8.523068,47.37638112989272,8.52443992989272,47.37368147010728,8.521740270107276,True,9GFF+X6 Zürich,8FVC9GFF+X6,,
2,2.0,OPERATIONAL,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117804425570490976472"">A Google User</a>'], 'photo_reference': 'Aap_uEDVb2ep0aXle526tnhOQS73HRtZ8LP5qrgzyBCA_vfZ2GuCeY3sTYQ4pqLMBQAPmAgiZBq4UEsZYuIgebMfPKKMvWcXUC2jXjN82JRECl0hz9iTAHN8v5smk2AmB9KPOhOj8UzH2SZPItxRE1NdGApwj_iQ7EYQINB-9Ghjg3mc1NkB', 'width': 3968}]",ChIJlyh8cScKkEcRY3M2wmnjbVI,4.3,ChIJlyh8cScKkEcRY3M2wmnjbVI,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",495,47.3699559,8.508720799999999,47.37124457989272,8.510165729892721,47.36854492010728,8.507466070107277,True,9G95+XF Zürich,8FVC9G95+XF,,
3,3.0,OPERATIONAL,"Hardturmstrasse 11, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103078599092779880596"">Stephan Winter</a>'], 'photo_reference': 'Aap_uEAPKregWfcXg7SO6AwY_B1mXUIpWN8qKkelWHMuVqILrSP7-2aXiKOU_3w9rj86FiVZn86Kz_Eu-7wn-NgtcV2T82_XearXI-eVsEkMKBr_klwpPss5yr8mQpURJkli0MChJUhPSIGypFcf9YQFg3KCoq00kTvHc2UTRd0xWj5j-BW0', 'width': 3968}]",ChIJP2csREgKkEcRi_XFDJQZXFw,4.3,ChIJP2csREgKkEcRi_XFDJQZXFw,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",225,47.391336,8.518552999999999,47.39294147989271,8.519764129892721,47.39024182010727,8.517064470107277,True,9GR9+GC Zürich,8FVC9GR9+GC,,
4,4.0,OPERATIONAL,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros-Supermarkt,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107165505763458875532"">Claudia Sabine Meier</a>'], 'photo_reference': 'Aap_uEAE0f_vaBxLMgg9wjT1169AoP_TLcF36ttj2kflXzhrDisNnZawrzHIccveSZ5_kc8mEzLMsdo3NzBTtOjX7UX17pjYfJ2HsmO-8kJBzGvk6iAw3FeyXxkhb45Em9Q5gd5qnOmTpnbVw_8NNjzGLYYekm56yv3bg5rN4JxNrCBHfy67', 'width': 1824}]",ChIJP2csREgKkEcRSAGtX2mbhGM,4.2,ChIJP2csREgKkEcRSAGtX2mbhGM,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",215,47.3902225,8.508951999999999,47.39167557989271,8.51036957989272,47.38897592010727,8.507669920107276,True,9GR5+3H Zürich,8FVC9GR5+3H,,
5,5.0,OPERATIONAL,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109901330234441306333"">Josep Aguilera Estrada</a>'], 'photo_reference': 'Aap_uEAR9APVAa5CiGHPXKqVrd_8UDkkhoHzlXgiJqdaT-jQqP4I8RxOrXqOUVV5I0hYoI9VW7UCqI6io1hFxt4DTbr4XL23kofL8PvYyo-MmZwqE2XlUbhe3Z-iw1Toq4_Ut5rmqVhTmQlupKE4UMfwMgy2zLDue8i_6PF5pJVWOz8n8Cgv', 'width': 4128}]",ChIJfSSTTR4KkEcRF7QYJUbjEPU,4.2,ChIJfSSTTR4KkEcRF7QYJUbjEPU,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",600,47.3700773,8.520128399999999,47.37139032989272,8.52139712989272,47.36869067010728,8.518697470107275,True,9GCC+23 Zürich,8FVC9GCC+23,,
6,6.0,OPERATIONAL,"Limmatstrasse 152, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 1005, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106269278122077725613"">Dominik F</a>'], 'photo_reference': 'Aap_uEDtBL8Hppn2ey3l2rAu02K83oqoDPJNFLbstOkdzjhOTU-6BrxK8lXy90LiwT6-3kgDK05zY4IVD3-Zm1nJj7RPeoLTS1GmtdUAvtQDh6Q2A3Rd_AjORXAileoltylkzfjUDUgUI_mf1boAGT3NwRHGGeq6Usthhkvz_T9rz4HoVz9X', 'width': 2000}]",ChIJS6CT8QgKkEcRVC558wYywsQ,4.4,ChIJS6CT8QgKkEcRVC558wYywsQ,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1561,47.38546299999999,8.531409199999999,47.38681282989272,8.532759029892718,47.38411317010728,8.530059370107274,True,9GPJ+5H Zürich,8FVC9GPJ+5H,,
7,7.0,OPERATIONAL,"Albisriederstrasse 365, 8047 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104390183828883614642"">Amy Gepfert</a>'], 'photo_reference': 'Aap_uECkEOWC758oZ1gPkK-srxWnHue5u78AcXKLI55LMt8mpqSQfzLF4F6_u3SbSwXE8XaDRtKY7RTtc0FMhoUrYQMIB-UNfx_2yVnCNBel6nVnT48uDclkegU0sFr2Cz58psrDhmEZhCt4inCA_GVmae4Jj2E1jvhi43nHPPmju_fs4liJ', 'width': 4048}]",ChIJT4C60NYLkEcR4go8AuAy9HE,4.1,ChIJT4C60NYLkEcR4go8AuAy9HE,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",184,47.3752046,8.4857195,47.37655442989272,8.487069329892723,47.37385477010727,8.484369670107277,True,9FGP+37 Zürich,8FVC9FGP+37,,
8,8.0,OPERATIONAL,"Tessinerpl. 10, 8002 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103541268436778144207"">Ksenia Markainesk</a>'], 'photo_reference': 'Aap_uEAe2vgSkxEV6z6NRFZIs53dM5Dg61cLNT27VM-QDbjP2jeak5ubSMzyeKbj6eLvLKo0MNBb1QOKo9zKH-UqL8Ee0031Rr2pvXlWttXWomX1J2b6CWOipDesqMcxzpoNoCX0CeFxUyzuGcURyawN58kIxHn3I7fRTh0VMjY93GsiYnU6', 'width': 4032}]",ChIJ8_GqOdYJkEcRlyA5wY3lgh0,4.2,ChIJ8_GqOdYJkEcRlyA5wY3lgh0,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",555,47.36413049999999,8.5310291,47.36553922989273,8.532502079892723,47.36283957010728,8.529802420107279,True,9G7J+MC Zürich,8FVC9G7J+MC,,
9,9.0,OPERATIONAL,"Hohlstrasse 600, 8048 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Migros Supermarkt,"[{'height': 2201, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102820401658875811974"">Yang Zhang</a>'], 'photo_reference': 'Aap_uEDlJyUc3wAN8ZaJVT9mvbmlLMnUu0d_j_yz3V8oYhuVirsvAGQqvQMnMa6wZHCCPJufW4RSV8XkJ1ZtqoRwONk3sDbWZy_JT7iPv7BbG1vPRkNnvqWZiELY19I3ND0PoknJJa83TXpnGSGSEGJkbmWxI2Oe8eNJ3MJ7QTJ8fs1CK_jT', 'width': 4000}]",ChIJfQVo8bcLkEcRIczzTEiuxuA,4.3,ChIJfQVo8bcLkEcRIczzTEiuxuA,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",527,47.3913612,8.4877977,47.39261177989273,8.489095479892722,47.38991212010728,8.486395820107278,True,9FRQ+G4 Zürich,8FVC9FRQ+G4,,
